timestamp;req_failed;request_per_sec;cpu_percent;memory_percent
1652274172;1.19;39.07;0.32964703555555525;0.9199981689453125
1652274187;0.72;37.13;0.3141687511111112;0.920928955078125
1652274202;0.0;34.07;0.2865157088888889;0.9273529052734375
1652274217;0.0;38.4;0.2700437244444445;0.9274444580078125
1652274232;0.48;41.73;0.2752446822222222;0.9274444580078125
1652274247;0.85;39.13;0.28656864888888894;0.93109130859375
1652274262;0.66;40.33;0.29673021999999993;0.93109130859375
1652274277;0.65;40.87;0.30339046888888893;0.93109130859375
1652274292;0.66;40.6;0.3003642955555556;0.93109130859375
1652274307;0.0;41.6;0.29457198666666656;0.9315948486328125
1652274322;0.67;49.67;0.3434010666666666;0.9638214111328125
1652274337;1.04;51.07;0.40557952666666686;0.9094390869140625
1652274352;0.83;48.0;0.42164475333333334;0.9174652099609375
1652274367;0.88;52.93;0.42799304888888895;0.91796875
1652274382;0.94;56.47;0.45486656222222194;0.91796875
1652274397;0.59;45.47;0.4308333822222222;0.9184722900390625
1652274412;0.42;47.33;0.4103679155555552;0.918975830078125
1652274427;0.55;48.27;0.3739570688888888;0.9194793701171875
1652274442;0.51;52.27;0.4151883844444449;0.9194793701171875
1652274457;0.76;52.87;0.41688595777777787;0.91998291015625
1652274472;0.56;48.0;0.4695047666666666;0.9225006103515625
1652274487;0.68;58.47;0.48406957111111143;0.923004150390625
1652274502;0.91;58.4;0.560032388888889;0.923004150390625
1652274517;0.98;54.2;0.5672290666666665;0.923004150390625
1652274532;0.26;50.87;0.5526329266666664;0.923004150390625
1652274547;0.53;50.4;0.46534696666666625;0.923004150390625
1652274562;0.39;51.4;0.42824781555555597;0.923004150390625
1652274577;0.0;51.87;0.42005318444444445;0.923004150390625
1652274592;0.26;51.33;0.4500887488888888;0.9235076904296875
1652274607;0.12;54.87;0.46584231777777757;0.9235076904296875
1652274622;0.26;52.13;0.4760120755555558;0.9235076904296875
1652274637;0.13;52.27;0.48637726666666603;0.9235076904296875
1652274652;0.25;53.6;0.4926728066666669;0.9235076904296875
1652274667;0.58;57.93;0.5129903622222224;0.9235076904296875
1652274682;0.12;54.93;0.5012826333333338;0.9235076904296875
1652274697;0.0;54.6;0.4995229688888887;0.9235076904296875
1652274712;0.12;55.47;0.489393286666666;0.9235076904296875
1652274727;0.0;57.6;0.5086644044444445;0.9235076904296875
1652274742;0.12;57.93;0.5147441088888879;0.9235076904296875
1652274757;0.43;62.67;0.5665275333333334;0.9235076904296875
1652274772;0.31;64.07;0.6035011399999992;0.925018310546875
1652274787;1.19;67.07;0.634842080000001;0.925018310546875
1652274802;1.21;71.47;0.6592715622222222;0.96484375
1652274817;2.74;63.27;0.6885754622222218;0.897369384765625
1652274832;0.62;64.47;0.6610820022222216;0.9079437255859375
1652274847;1.25;69.47;0.6565778644444435;0.9381561279296875
1652274862;1.24;69.8;0.6481973444444444;0.9421844482421875
1652274877;1.47;72.33;0.7023478288888896;0.940673828125
1652274892;0.65;71.47;0.6987111400000003;0.9401702880859375
1652274907;1.25;74.4;0.7174802155555564;0.9361419677734375
1652274922;1.98;81.0;0.7638687355555551;0.9361419677734375
1652274937;0.2;67.53;0.7046180288888889;0.9366455078125
1652274952;0.84;71.47;0.6745010177777772;0.93865966796875
1652274967;1.08;74.13;0.6260958911111111;0.96282958984375
1652274982;1.49;71.67;0.6938595200000008;0.9401702880859375
1652274997;1.85;79.33;0.7500494800000006;0.9401702880859375
1652275012;2.14;74.67;0.761295537777778;0.9401702880859375
1652275027;0.37;72.0;0.7701169177777767;0.9411773681640625
1652275042;0.19;71.47;0.7159665733333339;0.9411773681640625
1652275057;0.09;71.4;0.7167383888888897;0.9411773681640625
1652275072;0.29;69.4;0.6966638133333339;0.9411773681640625
1652275087;0.09;72.2;0.6808718088888895;0.9421844482421875
1652275102;0.38;70.87;0.6846920133333343;0.9421844482421875
1652275117;0.09;74.13;0.7159844333333327;0.94268798828125
1652275132;0.0;72.27;0.7603126066666668;0.94268798828125
1652275147;0.0;71.53;0.773393295555555;0.94268798828125
1652275162;0.0;74.8;0.7409643422222238;0.9431915283203125
1652275177;0.0;72.53;0.7106615244444432;0.943695068359375
1652275192;0.0;74.0;0.7416731222222223;0.943695068359375
1652275207;0.0;74.2;0.7600265488888882;0.943695068359375
1652275222;0.0;73.6;0.7689172488888896;0.9441986083984375
1652275237;0.0;73.33;0.739926784444444;0.9441986083984375
1652275252;0.0;73.47;0.7461682000000008;0.9441986083984375
1652275267;0.0;73.73;0.7493388200000001;0.9447021484375
1652275282;0.0;77.47;0.7685958955555559;0.9447021484375
1652275297;0.0;73.0;0.7873089177777779;0.9447021484375
1652275312;0.0;74.4;0.789284020000001;0.9653472900390625
1652275327;0.0;77.07;0.7969885088888885;0.9653472900390625
1652275342;0.0;75.87;0.7710183177777757;0.9663543701171875
1652275357;0.0;74.2;0.8152698111111097;0.975921630859375
1652275372;0.09;76.13;0.8147663688888895;0.9744110107421875
1652275387;3.57;78.33;0.8373764866666685;0.9744110107421875
1652275402;2.78;79.13;0.8283254644444469;0.9744110107421875
1652275417;4.16;78.6;0.8067800000000008;0.9744110107421875
1652275432;1.86;78.73;0.8436585422222201;0.973907470703125
1652275447;3.09;77.6;0.7994433977777766;0.973907470703125
1652275462;1.03;77.73;0.8152549022222223;0.9734039306640625
1652275477;3.46;80.87;0.7841640511111109;0.9713897705078125
1652275492;3.84;78.13;0.8351438955555548;0.9734039306640625
1652275507;4.4;59.13;0.8458362688888883;0.969879150390625
1652275522;5.61;64.2;0.8380908822222232;0.9693756103515625
1652275537;4.78;68.27;0.8232162422222219;0.965850830078125
1652275552;5.2;59.0;0.8404633333333322;0.96282958984375
1652275567;3.96;67.4;0.8266393200000013;0.963836669921875
1652275582;2.46;67.8;0.8575622066666685;0.9643402099609375
1652275597;3.49;72.67;0.8221889799999997;0.9643402099609375
1652275612;4.29;69.93;0.8903845555555537;0.9633331298828125
1652275627;4.96;69.87;0.8420771066666651;0.963836669921875
1652275642;4.77;75.4;0.863086957777778;0.9643402099609375
1652275657;5.01;67.8;0.8369781688888907;0.96484375
1652275672;3.64;73.33;0.8538120088888894;0.96484375
1652275687;4.45;79.4;0.837439600000001;0.96484375
1652275702;4.67;72.8;0.8583172933333344;0.9240570068359375
1652275717;4.16;70.47;0.8375920222222223;0.9170074462890625
1652275732;2.07;74.13;0.8449384444444452;0.9205322265625
1652275747;3.0;80.0;0.811721046666662;0.923553466796875
1652275762;3.76;79.8;0.8301806911111119;0.9311065673828125
1652275777;5.54;79.47;0.8684700488888867;0.935638427734375
1652275792;6.28;79.6;0.875925822222224;0.9361419677734375
1652275807;4.99;80.2;0.8893556933333305;0.9331207275390625
1652275822;4.4;80.27;0.852331842222222;0.9331207275390625
1652275837;3.63;79.0;0.8759227488888882;0.9331207275390625
